date,day_name,is_weekend,total_appliances_wh,avg_appliances_wh,total_lights_wh,avg_outdoor_temp_c,avg_outdoor_humidity_pct,avg_windspeed_mps
2016-04-04,Monday,0,27150,188.54,540,12.44,79.15,4.22
2016-04-05,Tuesday,0,22300,154.86,510,10.74,79.43,2.78
2016-04-06,Wednesday,0,12610,87.57,850,8.6,81.53,6.16
2016-04-07,Thursday,0,9910,68.82,110,7.43,74.55,5.51
2016-04-08,Friday,0,19360,134.44,240,7.96,82.43,2.23
2016-04-09,Saturday,1,15150,105.21,200,8.96,74.0,4.12
2016-04-10,Sunday,1,10680,74.17,110,9.35,77.72,3.12
2016-04-11,Monday,0,11210,77.85,510,12.89,65.54,4.33
2016-04-12,Tuesday,0,15900,110.42,350,10.65,74.36,2.76
2016-04-13,Wednesday,0,13570,94.24,530,8.21,87.7,1.61
2016-04-14,Thursday,0,12350,85.76,700,9.32,78.86,2.03
2016-04-15,Friday,0,18920,131.39,360,11.67,79.43,5.53
2016-04-16,Saturday,1,19320,134.17,50,9.09,81.39,4.54
2016-04-17,Sunday,1,15250,105.9,770,5.51,83.0,2.86
2016-04-18,Monday,0,10340,71.81,710,6.66,72.62,2.93
2016-04-19,Tuesday,0,10430,72.43,340,8.89,73.86,2.56
2016-04-20,Wednesday,0,11610,80.62,410,8.88,64.96,4.48
2016-04-21,Thursday,0,11070,76.88,110,11.91,59.88,3.71
2016-04-22,Friday,0,24570,170.62,340,11.14,66.41,4.35
2016-04-23,Saturday,1,15120,105.0,90,7.11,70.64,4.91
2016-04-24,Sunday,1,11780,81.81,170,4.09,82.94,3.36
2016-04-25,Monday,0,10820,75.14,1090,4.85,91.35,3.47
2016-04-26,Tuesday,0,10660,74.03,90,3.79,81.97,4.91
2016-04-27,Wednesday,0,10810,75.07,750,4.77,81.0,4.45
2016-04-28,Thursday,0,13810,95.9,250,4.53,76.77,2.81
2016-04-29,Friday,0,16060,111.53,80,6.68,81.54,4.5
2016-04-30,Saturday,1,20220,140.42,100,7.49,80.18,2.88
2016-05-01,Sunday,1,14090,97.85,30,7.96,69.25,3.44
2016-05-02,Monday,0,12330,85.62,400,10.2,67.14,2.22
2016-05-03,Tuesday,0,10040,69.72,90,10.58,67.93,3.84
2016-05-04,Wednesday,0,11370,78.96,160,9.9,62.02,2.18
2016-05-05,Thursday,0,12100,84.03,110,12.8,52.43,3.29
2016-05-06,Friday,0,14510,100.76,160,15.88,59.65,3.06
2016-05-07,Saturday,1,13990,97.15,60,18.52,50.47,2.72
2016-05-08,Sunday,1,9870,68.54,30,19.37,55.96,2.78
2016-05-09,Monday,0,12250,85.07,950,18.52,57.84,2.64
2016-05-10,Tuesday,0,9500,65.97,50,16.72,85.45,2.98
2016-05-11,Wednesday,0,10670,74.1,30,17.57,78.13,2.5
2016-05-12,Thursday,0,10400,72.22,80,16.53,78.37,1.92
2016-05-13,Friday,0,24280,168.61,470,16.77,73.4,4.6
2016-05-14,Saturday,1,14340,99.58,70,9.62,63.77,5.41
2016-05-15,Sunday,1,14980,104.03,540,8.56,72.69,3.11
2016-05-16,Monday,0,14420,100.14,340,10.29,74.69,1.33
2016-05-17,Tuesday,0,9510,66.04,50,12.49,76.28,3.27
2016-05-18,Wednesday,0,11840,82.22,320,12.92,76.8,4.14
2016-05-19,Thursday,0,10080,70.0,30,12.26,74.99,2.19
2016-05-20,Friday,0,9320,64.72,800,13.78,81.96,3.86
2016-05-21,Saturday,1,23280,161.67,220,17.85,74.5,4.71
2016-05-22,Sunday,1,15860,110.14,40,15.51,90.55,3.12
2016-05-23,Monday,0,11960,83.06,290,12.57,84.23,4.21
2016-05-24,Tuesday,0,13850,96.18,610,11.57,76.68,4.11
2016-05-25,Wednesday,0,12080,83.89,370,11.56,74.77,1.35
2016-05-26,Thursday,0,21170,147.01,450,14.92,74.34,1.85
2016-05-27,Friday,0,14860,136.33,70,17.2,74.28,2.04
