date,actual_Appliances,predicted_Appliances,record_type
2016-05-02 17:10:00,270.0,187.76,Test Evaluation
2016-05-02 17:20:00,260.0,221.31,Test Evaluation
2016-05-02 17:30:00,240.0,263.74,Test Evaluation
2016-05-02 17:40:00,210.0,269.26,Test Evaluation
2016-05-02 17:50:00,280.0,229.15,Test Evaluation
2016-05-02 18:00:00,170.0,219.64,Test Evaluation
2016-05-02 18:10:00,120.0,205.8,Test Evaluation
2016-05-02 18:20:00,100.0,180.31,Test Evaluation
2016-05-02 18:30:00,120.0,141.93,Test Evaluation
2016-05-02 18:40:00,120.0,141.23,Test Evaluation
2016-05-02 18:50:00,130.0,105.68,Test Evaluation
2016-05-02 19:00:00,130.0,105.77,Test Evaluation
2016-05-02 19:10:00,120.0,109.84,Test Evaluation
2016-05-02 19:20:00,120.0,113.87,Test Evaluation
2016-05-02 19:30:00,140.0,126.22,Test Evaluation
2016-05-02 19:40:00,150.0,115.24,Test Evaluation
2016-05-02 19:50:00,150.0,148.4,Test Evaluation
2016-05-02 20:00:00,150.0,142.37,Test Evaluation
2016-05-02 20:10:00,140.0,146.73,Test Evaluation
2016-05-02 20:20:00,130.0,130.54,Test Evaluation
2016-05-02 20:30:00,100.0,126.17,Test Evaluation
2016-05-02 20:40:00,80.0,117.15,Test Evaluation
2016-05-02 20:50:00,60.0,115.69,Test Evaluation
2016-05-02 21:00:00,30.0,110.48,Test Evaluation
2016-05-02 21:10:00,40.0,93.88,Test Evaluation
2016-05-02 21:20:00,40.0,82.12,Test Evaluation
2016-05-02 21:30:00,80.0,85.3,Test Evaluation
2016-05-02 21:40:00,70.0,75.38,Test Evaluation
2016-05-02 21:50:00,60.0,78.97,Test Evaluation
2016-05-02 22:00:00,70.0,86.23,Test Evaluation
2016-05-02 22:10:00,60.0,90.19,Test Evaluation
2016-05-02 22:20:00,70.0,92.52,Test Evaluation
2016-05-02 22:30:00,50.0,98.13,Test Evaluation
2016-05-02 22:40:00,80.0,84.92,Test Evaluation
2016-05-02 22:50:00,60.0,86.82,Test Evaluation
2016-05-02 23:00:00,60.0,63.6,Test Evaluation
2016-05-02 23:10:00,70.0,64.53,Test Evaluation
2016-05-02 23:20:00,50.0,65.72,Test Evaluation
2016-05-02 23:30:00,50.0,68.23,Test Evaluation
2016-05-02 23:40:00,50.0,62.59,Test Evaluation
2016-05-02 23:50:00,50.0,61.79,Test Evaluation
2016-05-03 00:00:00,40.0,47.68,Test Evaluation
2016-05-03 00:10:00,60.0,45.52,Test Evaluation
2016-05-03 00:20:00,60.0,48.13,Test Evaluation
2016-05-03 00:30:00,60.0,49.5,Test Evaluation
2016-05-03 00:40:00,60.0,50.68,Test Evaluation
2016-05-03 00:50:00,50.0,53.19,Test Evaluation
2016-05-03 01:00:00,40.0,56.44,Test Evaluation
2016-05-03 01:10:00,20.0,50.99,Test Evaluation
2016-05-03 01:20:00,30.0,43.72,Test Evaluation
2016-05-03 01:30:00,30.0,39.06,Test Evaluation
2016-05-03 01:40:00,50.0,34.41,Test Evaluation
2016-05-03 01:50:00,60.0,33.42,Test Evaluation
2016-05-03 02:00:00,60.0,34.1,Test Evaluation
2016-05-03 02:10:00,60.0,43.29,Test Evaluation
2016-05-03 02:20:00,60.0,45.29,Test Evaluation
2016-05-03 02:30:00,50.0,51.07,Test Evaluation
2016-05-03 02:40:00,50.0,51.03,Test Evaluation
2016-05-03 02:50:00,40.0,48.02,Test Evaluation
2016-05-03 03:00:00,50.0,47.6,Test Evaluation
2016-05-03 03:10:00,50.0,46.73,Test Evaluation
2016-05-03 03:20:00,50.0,46.45,Test Evaluation
2016-05-03 03:30:00,60.0,47.35,Test Evaluation
2016-05-03 03:40:00,50.0,47.72,Test Evaluation
2016-05-03 03:50:00,60.0,51.04,Test Evaluation
2016-05-03 04:00:00,40.0,52.29,Test Evaluation
2016-05-03 04:10:00,50.0,51.82,Test Evaluation
2016-05-03 04:20:00,50.0,51.26,Test Evaluation
2016-05-03 04:30:00,50.0,49.2,Test Evaluation
2016-05-03 04:40:00,50.0,50.35,Test Evaluation
2016-05-03 04:50:00,60.0,46.13,Test Evaluation
2016-05-03 05:00:00,70.0,52.98,Test Evaluation
2016-05-03 05:10:00,70.0,55.78,Test Evaluation
2016-05-03 05:20:00,30.0,54.79,Test Evaluation
2016-05-03 05:30:00,40.0,62.05,Test Evaluation
2016-05-03 05:40:00,50.0,73.46,Test Evaluation
2016-05-03 05:50:00,50.0,60.9,Test Evaluation
2016-05-03 06:00:00,60.0,47.98,Test Evaluation
2016-05-03 06:10:00,110.0,49.26,Test Evaluation
2016-05-03 06:20:00,70.0,77.82,Test Evaluation
2016-05-03 06:30:00,50.0,66.77,Test Evaluation
2016-05-03 06:40:00,60.0,64.89,Test Evaluation
2016-05-03 06:50:00,60.0,66.36,Test Evaluation
2016-05-03 07:00:00,60.0,66.28,Test Evaluation
2016-05-03 07:10:00,50.0,55.56,Test Evaluation
2016-05-03 07:20:00,50.0,55.16,Test Evaluation
2016-05-03 07:30:00,50.0,58.98,Test Evaluation
2016-05-03 07:40:00,50.0,91.37,Test Evaluation
2016-05-03 07:50:00,40.0,93.38,Test Evaluation
2016-05-03 08:00:00,70.0,56.3,Test Evaluation
2016-05-03 08:10:00,50.0,60.28,Test Evaluation
2016-05-03 08:20:00,60.0,62.6,Test Evaluation
2016-05-03 08:30:00,50.0,65.61,Test Evaluation
2016-05-03 08:40:00,50.0,68.53,Test Evaluation
2016-05-03 08:50:00,50.0,70.77,Test Evaluation
2016-05-03 09:00:00,30.0,66.87,Test Evaluation
2016-05-03 09:10:00,30.0,66.8,Test Evaluation
2016-05-03 09:20:00,20.0,61.68,Test Evaluation
2016-05-03 09:30:00,40.0,69.27,Test Evaluation
2016-05-03 09:40:00,60.0,54.31,Test Evaluation
2016-05-03 09:50:00,60.0,56.68,Test Evaluation
2016-05-03 10:00:00,50.0,63.07,Test Evaluation
2016-05-03 10:10:00,60.0,64.94,Test Evaluation
2016-05-03 10:20:00,50.0,73.06,Test Evaluation
2016-05-03 10:30:00,40.0,72.44,Test Evaluation
2016-05-03 10:40:00,60.0,69.37,Test Evaluation
2016-05-03 10:50:00,50.0,68.62,Test Evaluation
2016-05-03 11:00:00,50.0,81.17,Test Evaluation
2016-05-03 11:10:00,60.0,69.29,Test Evaluation
2016-05-03 11:20:00,60.0,69.2,Test Evaluation
2016-05-03 11:30:00,50.0,73.64,Test Evaluation
2016-05-03 11:40:00,50.0,70.19,Test Evaluation
2016-05-03 11:50:00,50.0,71.52,Test Evaluation
2016-05-03 12:00:00,50.0,73.71,Test Evaluation
2016-05-03 12:10:00,60.0,70.21,Test Evaluation
2016-05-03 12:20:00,40.0,71.69,Test Evaluation
2016-05-03 12:30:00,60.0,70.76,Test Evaluation
2016-05-03 12:40:00,60.0,71.58,Test Evaluation
2016-05-03 12:50:00,50.0,72.55,Test Evaluation
2016-05-03 13:00:00,60.0,70.12,Test Evaluation
2016-05-03 13:10:00,40.0,70.04,Test Evaluation
2016-05-03 13:20:00,30.0,70.7,Test Evaluation
2016-05-03 13:30:00,30.0,67.65,Test Evaluation
2016-05-03 13:40:00,20.0,62.8,Test Evaluation
2016-05-03 13:50:00,60.0,57.34,Test Evaluation
2016-05-03 14:00:00,50.0,56.92,Test Evaluation
2016-05-03 14:10:00,70.0,59.25,Test Evaluation
2016-05-03 14:20:00,60.0,65.44,Test Evaluation
2016-05-03 14:30:00,60.0,70.93,Test Evaluation
2016-05-03 14:40:00,50.0,77.25,Test Evaluation
2016-05-03 14:50:00,50.0,72.56,Test Evaluation
2016-05-03 15:00:00,40.0,74.65,Test Evaluation
2016-05-03 15:10:00,50.0,66.58,Test Evaluation
2016-05-03 15:20:00,50.0,66.53,Test Evaluation
2016-05-03 15:30:00,50.0,63.53,Test Evaluation
2016-05-03 15:40:00,60.0,64.02,Test Evaluation
2016-05-03 15:50:00,50.0,66.39,Test Evaluation
2016-05-03 16:00:00,60.0,66.47,Test Evaluation
2016-05-03 16:10:00,60.0,66.19,Test Evaluation
2016-05-03 16:20:00,60.0,69.31,Test Evaluation
2016-05-03 16:30:00,60.0,73.18,Test Evaluation
2016-05-03 16:40:00,80.0,76.1,Test Evaluation
2016-05-03 16:50:00,70.0,92.82,Test Evaluation
2016-05-03 17:00:00,90.0,97.62,Test Evaluation
2016-05-03 17:10:00,150.0,102.57,Test Evaluation
2016-05-03 17:20:00,460.0,117.06,Test Evaluation
2016-05-03 17:30:00,340.0,175.33,Test Evaluation
2016-05-03 17:40:00,310.0,222.97,Test Evaluation
2016-05-03 17:50:00,120.0,256.46,Test Evaluation
2016-05-03 18:00:00,140.0,240.56,Test Evaluation
2016-05-03 18:10:00,150.0,228.42,Test Evaluation
2016-05-03 18:20:00,120.0,160.09,Test Evaluation
2016-05-03 18:30:00,130.0,134.53,Test Evaluation
2016-05-03 18:40:00,130.0,111.82,Test Evaluation
2016-05-03 18:50:00,130.0,130.88,Test Evaluation
2016-05-03 19:00:00,130.0,131.03,Test Evaluation
2016-05-03 19:10:00,170.0,126.43,Test Evaluation
2016-05-03 19:20:00,210.0,138.15,Test Evaluation
2016-05-03 19:30:00,110.0,150.82,Test Evaluation
2016-05-03 19:40:00,100.0,144.41,Test Evaluation
2016-05-03 19:50:00,110.0,138.3,Test Evaluation
2016-05-03 20:00:00,90.0,131.17,Test Evaluation
2016-05-03 20:10:00,120.0,135.11,Test Evaluation
2016-05-03 20:20:00,130.0,93.65,Test Evaluation
2016-05-03 20:30:00,130.0,100.07,Test Evaluation
2016-05-03 20:40:00,120.0,102.04,Test Evaluation
2016-05-03 20:50:00,120.0,100.71,Test Evaluation
2016-05-03 21:00:00,60.0,113.63,Test Evaluation
2016-05-03 21:10:00,60.0,92.37,Test Evaluation
2016-05-03 21:20:00,50.0,81.21,Test Evaluation
2016-05-03 21:30:00,60.0,83.32,Test Evaluation
2016-05-03 21:40:00,60.0,64.0,Test Evaluation
2016-05-03 21:50:00,50.0,53.91,Test Evaluation
2016-05-03 22:00:00,60.0,57.44,Test Evaluation
2016-05-03 22:10:00,60.0,55.21,Test Evaluation
2016-05-03 22:20:00,60.0,56.69,Test Evaluation
2016-05-03 22:30:00,50.0,56.35,Test Evaluation
2016-05-03 22:40:00,40.0,58.52,Test Evaluation
2016-05-03 22:50:00,60.0,57.24,Test Evaluation
2016-05-03 23:00:00,50.0,56.72,Test Evaluation
2016-05-03 23:10:00,50.0,54.77,Test Evaluation
2016-05-03 23:20:00,40.0,51.96,Test Evaluation
2016-05-03 23:30:00,30.0,51.84,Test Evaluation
2016-05-03 23:40:00,40.0,53.09,Test Evaluation
2016-05-03 23:50:00,40.0,47.77,Test Evaluation
2016-05-04 00:00:00,40.0,36.07,Test Evaluation
2016-05-04 00:10:00,50.0,36.45,Test Evaluation
2016-05-04 00:20:00,60.0,38.53,Test Evaluation
2016-05-04 00:30:00,50.0,43.37,Test Evaluation
2016-05-04 00:40:00,50.0,44.8,Test Evaluation
2016-05-04 00:50:00,60.0,45.59,Test Evaluation
2016-05-04 01:00:00,60.0,48.07,Test Evaluation
2016-05-04 01:10:00,50.0,48.17,Test Evaluation
2016-05-04 01:20:00,60.0,47.02,Test Evaluation
2016-05-04 01:30:00,50.0,48.47,Test Evaluation
2016-05-04 01:40:00,50.0,49.53,Test Evaluation
2016-05-04 01:50:00,50.0,46.89,Test Evaluation
2016-05-04 02:00:00,50.0,45.48,Test Evaluation
2016-05-04 02:10:00,40.0,47.5,Test Evaluation
2016-05-04 02:20:00,60.0,44.19,Test Evaluation
2016-05-04 02:30:00,60.0,45.42,Test Evaluation
2016-05-04 02:40:00,60.0,46.9,Test Evaluation
2016-05-04 02:50:00,60.0,48.75,Test Evaluation
2016-05-04 03:00:00,50.0,50.81,Test Evaluation
2016-05-04 03:10:00,50.0,54.15,Test Evaluation
2016-05-04 03:20:00,50.0,49.38,Test Evaluation
2016-05-04 03:30:00,20.0,51.12,Test Evaluation
2016-05-04 03:40:00,30.0,43.32,Test Evaluation
2016-05-04 03:50:00,30.0,38.43,Test Evaluation
2016-05-04 04:00:00,30.0,37.25,Test Evaluation
2016-05-04 04:10:00,60.0,33.9,Test Evaluation
2016-05-04 04:20:00,50.0,35.68,Test Evaluation
2016-05-04 04:30:00,60.0,42.17,Test Evaluation
2016-05-04 04:40:00,40.0,46.05,Test Evaluation
2016-05-04 04:50:00,60.0,48.99,Test Evaluation
2016-05-04 05:00:00,70.0,55.67,Test Evaluation
2016-05-04 05:10:00,70.0,61.33,Test Evaluation
2016-05-04 05:20:00,70.0,50.74,Test Evaluation
2016-05-04 05:30:00,70.0,51.86,Test Evaluation
2016-05-04 05:40:00,70.0,68.24,Test Evaluation
2016-05-04 05:50:00,50.0,59.62,Test Evaluation
2016-05-04 06:00:00,70.0,58.31,Test Evaluation
2016-05-04 06:10:00,280.0,60.24,Test Evaluation
2016-05-04 06:20:00,150.0,90.54,Test Evaluation
2016-05-04 06:30:00,60.0,101.21,Test Evaluation
2016-05-04 06:40:00,70.0,100.54,Test Evaluation
2016-05-04 06:50:00,60.0,105.94,Test Evaluation
2016-05-04 07:00:00,70.0,104.32,Test Evaluation
2016-05-04 07:10:00,50.0,56.85,Test Evaluation
2016-05-04 07:20:00,60.0,52.98,Test Evaluation
2016-05-04 07:30:00,50.0,60.66,Test Evaluation
2016-05-04 07:40:00,50.0,60.75,Test Evaluation
2016-05-04 07:50:00,80.0,63.04,Test Evaluation
2016-05-04 08:00:00,60.0,79.08,Test Evaluation
2016-05-04 08:10:00,370.0,74.03,Test Evaluation
2016-05-04 08:20:00,400.0,120.26,Test Evaluation
2016-05-04 08:30:00,70.0,172.92,Test Evaluation
2016-05-04 08:40:00,70.0,180.01,Test Evaluation
2016-05-04 08:50:00,80.0,175.1,Test Evaluation
2016-05-04 09:00:00,90.0,182.28,Test Evaluation
2016-05-04 09:10:00,70.0,125.42,Test Evaluation
2016-05-04 09:20:00,80.0,63.42,Test Evaluation
2016-05-04 09:30:00,60.0,98.92,Test Evaluation
2016-05-04 09:40:00,50.0,97.92,Test Evaluation
2016-05-04 09:50:00,80.0,81.9,Test Evaluation
2016-05-04 10:00:00,80.0,72.9,Test Evaluation
2016-05-04 10:10:00,80.0,77.96,Test Evaluation
2016-05-04 10:20:00,80.0,77.65,Test Evaluation
2016-05-04 10:30:00,120.0,83.96,Test Evaluation
2016-05-04 10:40:00,90.0,113.18,Test Evaluation
2016-05-04 10:50:00,50.0,114.07,Test Evaluation
2016-05-04 11:00:00,70.0,101.46,Test Evaluation
2016-05-04 11:10:00,60.0,104.44,Test Evaluation
2016-05-04 11:20:00,90.0,112.71,Test Evaluation
2016-05-04 11:30:00,80.0,97.21,Test Evaluation
2016-05-04 11:40:00,80.0,99.26,Test Evaluation
2016-05-04 11:50:00,80.0,104.68,Test Evaluation
2016-05-04 12:00:00,60.0,112.8,Test Evaluation
2016-05-04 12:10:00,70.0,103.4,Test Evaluation
2016-05-04 12:20:00,60.0,96.3,Test Evaluation
2016-05-04 12:30:00,60.0,105.2,Test Evaluation
2016-05-04 12:40:00,70.0,90.8,Test Evaluation
2016-05-04 12:50:00,70.0,89.24,Test Evaluation
2016-05-04 13:00:00,80.0,92.14,Test Evaluation
2016-05-04 13:10:00,70.0,102.37,Test Evaluation
2016-05-04 13:20:00,70.0,96.1,Test Evaluation
2016-05-04 13:30:00,70.0,92.71,Test Evaluation
2016-05-04 13:40:00,60.0,100.32,Test Evaluation
2016-05-04 13:50:00,70.0,90.98,Test Evaluation
2016-05-04 14:00:00,60.0,86.38,Test Evaluation
2016-05-04 14:10:00,70.0,95.75,Test Evaluation
2016-05-04 14:20:00,70.0,85.43,Test Evaluation
2016-05-04 14:30:00,70.0,84.7,Test Evaluation
2016-05-04 14:40:00,80.0,88.21,Test Evaluation
2016-05-04 14:50:00,70.0,98.44,Test Evaluation
2016-05-04 15:00:00,80.0,89.0,Test Evaluation
2016-05-04 15:10:00,70.0,90.9,Test Evaluation
2016-05-04 15:20:00,70.0,91.29,Test Evaluation
2016-05-04 15:30:00,50.0,90.85,Test Evaluation
2016-05-04 15:40:00,60.0,85.24,Test Evaluation
2016-05-04 15:50:00,80.0,83.05,Test Evaluation
2016-05-04 16:00:00,90.0,83.29,Test Evaluation
2016-05-04 16:10:00,90.0,88.09,Test Evaluation
2016-05-04 16:20:00,80.0,94.75,Test Evaluation
2016-05-04 16:30:00,80.0,103.67,Test Evaluation
2016-05-04 16:40:00,70.0,110.69,Test Evaluation
2016-05-04 16:50:00,80.0,107.29,Test Evaluation
2016-05-04 17:00:00,90.0,107.0,Test Evaluation
2016-05-04 17:10:00,90.0,111.96,Test Evaluation
2016-05-04 17:20:00,130.0,128.37,Test Evaluation
2016-05-04 17:30:00,120.0,129.79,Test Evaluation
2016-05-04 17:40:00,130.0,135.68,Test Evaluation
2016-05-04 17:50:00,120.0,134.08,Test Evaluation
2016-05-04 18:00:00,130.0,149.67,Test Evaluation
2016-05-04 18:10:00,120.0,144.43,Test Evaluation
2016-05-04 18:20:00,200.0,131.63,Test Evaluation
2016-05-04 18:30:00,120.0,140.48,Test Evaluation
2016-05-04 18:40:00,110.0,136.09,Test Evaluation
2016-05-04 18:50:00,120.0,137.11,Test Evaluation
2016-05-04 19:00:00,130.0,132.21,Test Evaluation
2016-05-04 19:10:00,130.0,136.96,Test Evaluation
2016-05-04 19:20:00,110.0,126.39,Test Evaluation
2016-05-04 19:30:00,120.0,124.88,Test Evaluation
2016-05-04 19:40:00,90.0,124.57,Test Evaluation
2016-05-04 19:50:00,90.0,118.06,Test Evaluation
2016-05-04 20:00:00,80.0,105.55,Test Evaluation
2016-05-04 20:10:00,80.0,96.61,Test Evaluation
2016-05-04 20:20:00,100.0,91.75,Test Evaluation
2016-05-04 20:30:00,110.0,86.79,Test Evaluation
2016-05-04 20:40:00,110.0,90.24,Test Evaluation
2016-05-04 20:50:00,120.0,93.53,Test Evaluation
2016-05-04 21:00:00,80.0,93.65,Test Evaluation
2016-05-04 21:10:00,80.0,92.6,Test Evaluation
2016-05-04 21:20:00,80.0,87.36,Test Evaluation
2016-05-04 21:30:00,70.0,82.39,Test Evaluation
2016-05-04 21:40:00,80.0,78.64,Test Evaluation
2016-05-04 21:50:00,60.0,72.38,Test Evaluation
2016-05-04 22:00:00,50.0,73.89,Test Evaluation
2016-05-04 22:10:00,70.0,68.19,Test Evaluation
2016-05-04 22:20:00,50.0,67.29,Test Evaluation
2016-05-04 22:30:00,60.0,74.59,Test Evaluation
2016-05-04 22:40:00,50.0,58.98,Test Evaluation
2016-05-04 22:50:00,50.0,59.23,Test Evaluation
2016-05-04 23:00:00,60.0,61.67,Test Evaluation
2016-05-04 23:10:00,50.0,59.13,Test Evaluation
2016-05-04 23:20:00,50.0,59.5,Test Evaluation
2016-05-04 23:30:00,60.0,56.9,Test Evaluation
2016-05-04 23:40:00,50.0,60.1,Test Evaluation
2016-05-04 23:50:00,60.0,60.33,Test Evaluation
2016-05-05 00:00:00,40.0,48.71,Test Evaluation
2016-05-05 00:10:00,40.0,47.17,Test Evaluation
2016-05-05 00:20:00,20.0,46.18,Test Evaluation
2016-05-05 00:30:00,40.0,39.96,Test Evaluation
2016-05-05 00:40:00,50.0,39.42,Test Evaluation
2016-05-05 00:50:00,50.0,38.07,Test Evaluation
2016-05-05 01:00:00,50.0,41.92,Test Evaluation
2016-05-05 01:10:00,60.0,41.72,Test Evaluation
2016-05-05 01:20:00,60.0,52.28,Test Evaluation
2016-05-05 01:30:00,60.0,53.23,Test Evaluation
2016-05-05 01:40:00,60.0,55.73,Test Evaluation
2016-05-05 01:50:00,50.0,56.36,Test Evaluation
